iter	MAE
0	89.5534128
1	83.85185867
2	78.22979304
3	72.62310322
4	68.00957303
5	63.6777846
6	58.93557998
7	55.10519312
8	51.75042434
9	48.52672516
10	46.19341646
11	43.73922808
12	41.49848355
13	39.45162621
14	37.8398205
15	36.46100603
16	35.33820583
17	34.01254489
18	32.90748941
19	32.02267762
20	31.25284592
21	30.43675038
22	29.77173363
23	29.18124829
24	28.66552859
25	28.15660033
26	27.62230293
27	27.21685506
28	26.81231023
29	26.42482336
30	26.06491757
31	25.69602475
32	25.36770789
33	25.07600545
34	24.83669853
35	24.63000059
36	24.38952789
37	24.19423061
38	24.03345777
39	23.87075911
40	23.7358634
41	23.58515637
42	23.46248001
43	23.3486542
44	23.26556771
45	23.20713247
46	23.14483058
47	23.11302712
48	23.05882419
49	22.9842086
50	22.92347247
51	22.89670116
52	22.8473244
53	22.79663691
54	22.74133507
55	22.65766966
56	22.64528466
57	22.61150796
58	22.5650168
59	22.5463532
60	22.51062371
61	22.46504985
62	22.42300678
63	22.39169264
64	22.35112344
65	22.32752607
66	22.29025564
67	22.26767469
68	22.24810159
69	22.2324867
70	22.19098937
71	22.17209403
72	22.16537382
73	22.12832392
74	22.08937866
75	22.07365608
76	22.06372384
77	22.05369581
78	22.03494795
79	21.99613022
80	21.97894712
81	21.94733186
82	21.93821548
83	21.92368489
84	21.9047763
85	21.88915954
86	21.8742193
87	21.86922585
88	21.86304236
89	21.85481091
90	21.83124619
91	21.81461592
92	21.80132267
93	21.75258629
94	21.74236126
95	21.7308514
96	21.72024196
97	21.69822137
98	21.67341592
99	21.63326386
100	21.61955117
101	21.57655173
102	21.55109837
103	21.54323017
104	21.54199432
105	21.5324294
106	21.52780223
107	21.52260388
108	21.52010636
109	21.51759033
110	21.50269691
111	21.49374205
112	21.47965789
113	21.45336433
114	21.45132035
115	21.40272776
116	21.36872348
117	21.35075871
118	21.32678116
119	21.32261897
120	21.28054739
121	21.28054729
122	21.26674179
123	21.25420421
124	21.2445616
125	21.23404762
126	21.23344297
127	21.22177809
128	21.21133438
129	21.18268716
130	21.1594055
131	21.10600856
132	21.10277774
133	21.08798103
134	21.02864811
135	20.99239413
136	20.99203187
137	20.98403366
138	20.93770773
139	20.89376366
140	20.83633575
141	20.83569735
142	20.83565222
143	20.83521004
144	20.8348458
145	20.80963393
146	20.76939423
147	20.75531587
148	20.75054665
149	20.6886362
150	20.67396553
151	20.67140244
152	20.65274138
153	20.61988945
154	20.56824833
155	20.55359193
156	20.5335906
157	20.52910853
158	20.50180284
159	20.47512149
160	20.47177444
161	20.42975506
162	20.41529712
163	20.39788536
164	20.37945524
165	20.37328453
166	20.36924039
167	20.36876195
168	20.36621
169	20.36326352
170	20.36279445
171	20.35518842
172	20.34875496
173	20.34206584
174	20.33696061
175	20.32745727
176	20.32580185
177	20.32334541
178	20.32214945
179	20.31306389
180	20.31124172
181	20.30491857
182	20.29150627
183	20.27892447
184	20.26248385
185	20.26094295
